eta,max_depth,gamma,colsample_bytree,min_child_weight,subsample,nrounds,Accuracy,Kappa,AccuracySD,KappaSD
0.4,5,0,1,1,1,200,0.7713089727174234,0.5193553846116377,0.03730976902948939,0.07070300799889671
0.6000000000000001,5,0,0.6,1,1,200,0.7811779769526248,0.5392338437011713,0.025364820987895838,0.04913452441540519
0.6000000000000001,5,0,0.7,1,1,200,0.776903378311829,0.530971941216008,0.04856314975181097,0.09620454301302718
0.6000000000000001,5,0,0.8,1,1,200,0.7558751108046883,0.4903176405948147,0.03826379811551971,0.07353782107185865
0.6000000000000001,5,0,0.9,1,1,200,0.7839259332217079,0.5446703906446109,0.03658252412028379,0.07212777984818201
0.6000000000000001,5,0,1,1,1,200,0.769920220624446,0.5173602838806718,0.03134720429742678,0.05690978566357221
0.8,5,0,0.6,1,1,200,0.781128730424505,0.5416173591724689,0.03549797899018279,0.07015004247377252
0.8,5,0,0.7,1,1,200,0.7769230769230769,0.5299011343300677,0.03686240629309296,0.07468099269325691
0.8,5,0,0.8,1,1,200,0.7684822220033487,0.5145894573662266,0.045034413846148265,0.08783002591626006
0.8,5,0,0.9,1,1,200,0.7628976657145671,0.5035373887796031,0.03226240751210802,0.05794424412045906
0.8,5,0,1,1,1,200,0.7741061755146262,0.52373370594516,0.03589055075207639,0.07073583257882698
1,5,0,0.6,1,1,200,0.7825667290456023,0.5434291534442202,0.039858948531463836,0.08330823859083784
1,5,0,0.7,1,1,200,0.7713286713286713,0.5223884477707714,0.04321364743320337,0.08428065919731394
1,5,0,0.8,1,1,200,0.7643159657244164,0.5041310540471612,0.028042868874316864,0.05104108649301614
1,5,0,0.9,1,1,200,0.7713286713286713,0.5170373580170687,0.024768986706306565,0.047120703005419616
1,5,0,1,1,1,200,0.7741061755146261,0.5257531342015016,0.0442491496536008,0.08648012344540537
0.2,6,0,0.6,1,1,200,0.79237663744706,0.5584095243224542,0.027428592037972283,0.05807730729592554
0.2,6,0,0.7,1,1,200,0.7965921402541121,0.569616450226412,0.03205706142897169,0.06568800836204347
0.2,6,0,0.8,1,1,200,0.7867822318526544,0.5495885207947943,0.029035215906646296,0.06031523239593383
0.2,6,0,0.9,1,1,200,0.7895892839554811,0.5545478699852721,0.021993733229190054,0.04295413142800384
0.2,6,0,1,1,1,200,0.7839751797498277,0.5446125745229387,0.026264831412713633,0.0505147953266265
0.4,6,0,0.6,1,1,200,0.7853442332315572,0.5479624888648621,0.03510105495893439,0.06871888979539677
0.4,6,0,0.7,1,1,200,0.7811779769526248,0.5406824619319734,0.017170859776204854,0.03579335044646757
0.4,6,0,0.8,1,1,200,0.7825568797399783,0.5418112675522727,0.034436276993812395,0.0691309463054655
0.4,6,0,0.9,1,1,200,0.7839653304442037,0.5438661014192925,0.02544007196126636,0.051150807388119675
0.4,6,0,1,1,1,200,0.7713385206342953,0.5187251204490897,0.02312777090072128,0.044567954633049967
0.6000000000000001,6,0,0.6,1,1,200,0.7797301290259037,0.536509328435788,0.03591862297741163,0.06680850998620695
0.6000000000000001,6,0,0.7,1,1,200,0.7783315276273023,0.5325243688732034,0.0355427310990962,0.07246444870064984
0.6000000000000001,6,0,0.8,1,1,200,0.7853540825371811,0.5460673051805719,0.02798666804683213,0.055114997995356095
0.6000000000000001,6,0,0.9,1,1,200,0.7797202797202797,0.5353741318733338,0.04224080580332234,0.08579644466492291
0.6000000000000001,6,0,1,1,1,200,0.7783512262385501,0.5334038360577995,0.028367355299115833,0.05517615160725881
0.8,6,0,0.6,1,1,200,0.7783315276273023,0.5342549144706717,0.04037390041864295,0.08262959456474495
0.8,6,0,0.7,1,1,200,0.7839554811385797,0.544007877477857,0.027029794881256293,0.051712101993997804
0.8,6,0,0.8,1,1,200,0.7825174825174825,0.5402440363273938,0.03873893549348968,0.07670201614363437
0.8,6,0,0.9,1,1,200,0.7755441741357234,0.5274526537456623,0.02632314225123474,0.050731892318455506
0.8,6,0,1,1,1,200,0.7713286713286713,0.5189159506783723,0.03211299602727851,0.0639061766267843
1,6,0,0.6,1,1,200,0.7895203388161135,0.5553069820718904,0.046813584888135806,0.09522508870665708
1,6,0,0.7,1,1,200,0.7741160248202502,0.525383397006638,0.03375220661783701,0.0662961258521025
1,6,0,0.8,1,1,200,0.7727272727272727,0.5234703372908233,0.03513027929530644,0.07337977491815624
1,6,0,0.9,1,1,200,0.7671033192159953,0.511859525153076,0.04247190294878721,0.08369280283638932
1,6,0,1,1,1,200,0.7783216783216783,0.5316267001302742,0.035269206862744804,0.06865693813367445
